index,true_label,prompt,generated_report
25,0,"You are a radiologist. Write 2 sentences: (1) findings, (2) impression.","you are a radiologist. write 2 sentences : ( 1 ) findings, ( 2 ) impression. 2"
303,1,"You are a radiologist. Write 2 sentences: (1) findings, (2) impression.","you are a radiologist. write 2 sentences : ( 1 ) findings, ( 2 ) impression. 2"
135,1,"You are a radiologist. Write 2 sentences: (1) findings, (2) impression.","you are a radiologist. write 2 sentences : ( 1 ) findings, ( 2 ) impression. 2"
606,0,"You are a radiologist. Write 2 sentences: (1) findings, (2) impression.","you are a radiologist. write 2 sentences : ( 1 ) findings, ( 2 ) impression. 2"
35,1,"You are a radiologist. Write 2 sentences: (1) findings, (2) impression.","you are a radiologist. write 2 sentences : ( 1 ) findings, ( 2 ) impression. 2"
86,0,"You are a radiologist. Write 2 sentences: (1) findings, (2) impression.","you are a radiologist. write 2 sentences : ( 1 ) findings, ( 2 ) impression. 2"
513,1,"You are a radiologist. Write 2 sentences: (1) findings, (2) impression.","you are a radiologist. write 2 sentences : ( 1 ) findings, ( 2 ) impression. 2"
157,1,"You are a radiologist. Write 2 sentences: (1) findings, (2) impression.","you are a radiologist. write 2 sentences : ( 1 ) findings, ( 2 ) impression. 2"
3,0,"You are a radiologist. Write 2 sentences: (1) findings, (2) impression.","you are a radiologist. write 2 sentences : ( 1 ) findings, ( 2 ) impression. 2"
29,1,"You are a radiologist. Write 2 sentences: (1) findings, (2) impression.","you are a radiologist. write 2 sentences : ( 1 ) findings, ( 2 ) impression. 2"
